,brand,model,interface,chipset manufacturer,gpu,effective memory clock,memory size,memory interface,memory type,hdmi,displayport,cooler,max gpu length,card dimensions (l x h),date first available
0,asus,rog-strix-rtx2080ti-o11g-gaming,pci express 3.0,nvidia,geforce rtx 2080 ti,14000 mhz,11gb,352-bit,gddr6,2 x hdmi 2.0b,2 x displayport 1.4,triple fans,305 mm,"12.00"" x 5.13""","october 31, 2018"
1,gigabyte,gv-r57xtgaming oc-8gd,pci express 4.0 x16,amd,radeon rx 5700 xt,14000 mhz,8gb,256-bit,gddr6,1 x hdmi 2.0b,3 x displayport 1.4,windforce 3x,280 mm,"11.02"" x 4.49""","january 16, 2020"
2,evga,08g-p4-3163-kr,pci express 3.0,nvidia,geforce rtx 2060 super,14000 mhz,8gb,256-bit,gddr6,1 x hdmi 2.0b,3 x displayport 1.4,double fans,270 mm,"10.62"" x 4.38""","june 28, 2019"
3,asrock,rx 5700 xt challenger d 8g oc,pci express 4.0,amd,radeon rx 5700 xt,14 gbps,8gb,256-bit,gddr6,1 x hdmi 2.0b,3 x displayport 1.4,double fans,281 mm,"11.06"" x 5.39""","august 14, 2019"
4,evga,06g-p4-2067-kr,pci express 3.0,nvidia,geforce rtx 2060,14000 mhz,6gb,192-bit,gddr6,1 x hdmi 2.0b,1 x displayport 1.4,double fans,268 mm,"10.55"" x 4.38""","march 25, 2019"
5,asus,rog-strix-rx5700xt-o8g-gaming,pci express 4.0,amd,radeon rx 5700 xt,14 gbps,8gb,256-bit,gddr6,1 x hdmi 2.0b,3 x displayport 1.4,triple fans,305 mm,"12.00"" x 5.10""","september 19, 2019"
6,sapphire,100416nt+8gsr,pci express 4.0 x16,amd,radeon rx 5700 xt,14 gbps,8gb,256-bit,gddr6,2 x hdmi,2 x displayport 1.4,triple fans,306 mm,"12.05"" x 5.31""","september 11, 2019"
7,msi,rtx 2080 ti gaming x trio,pci express 3.0 x16,nvidia,geforce rtx 2080 ti,14 gbps,11gb,352-bit,gddr6,1 x hdmi 2.0b,3 x displayport 1.4,triple fans,327 mm,"12.87"" x 5.51""","august 20, 2018"
8,sapphire,100416p8gl,pci express 4.0 x16,amd,radeon rx 5700 xt,14 gbps,8gb,256-bit,gddr6,1 x hdmi,3 x displayport 1.4,double fans,254 mm,"10.00"" x 5.31""","august 12, 2019"
9,asrock,rx 5700 xt taichi x 8g oc+,pci express 4.0,amd,radeon rx 5700 xt,14 gbps,8gb,256-bit,gddr6,2 x hdmi 2.0b,4 x displayport 1.4,triple fans,324 mm,"12.77"" x 5.72""","september 19, 2019"
10,powercolor,axrx 580 8gbd5-3dhdv2/oc,pci express 3.0,amd,radeon rx 580,2000 mhz x4 (8.0 gbps),8gb,256-bit,gddr5,1 x hdmi,3 x displayport,double fans,255 mm,"10.04"" x 5.63""","may 17, 2017"
11,msi,rx 5700 xt gaming x,pci express 4.0,amd,radeon rx 5700 xt,14 gbps,8gb,256-bit,gddr6,1 x hdmi 2.0b,3 x displayport 1.4,double fans,297 mm,"11.69"" x 5.51""","october 02, 2019"
12,gigabyte,gv-rxvega64gaming oc-8gd,pci express 3.0 x16,amd,radeon rx vega 64,945 mhz (1.89 gbps),8gb,2048-bit,hbm2,3 x hdmi 2.0b,3 x displayport 1.4,windforce 2x,274 mm,"10.78"" x 5.18""","january 26, 2018"
13,sapphire,100419p6gl,pci express 4.0,amd,radeon rx 5600 xt,14 gbps,6gb,192-bit,gddr6,1 x hdmi,3 x displayport 1.4,double fans,254 mm,"10.00"" x 5.31""","january 21, 2020"
14,gigabyte,gv-n2070wf2-8gd,pci express 3.0 x16,nvidia,geforce rtx 2070,14000 mhz,8gb,256-bit,gddr6,1 x hdmi 2.0b,3 x displayport 1.4,windforce 2x,265 mm,"10.43"" x 4.75""","june 17, 2019"
15,sapphire,100416nt+sesr,pci express 4.0 x16,amd,radeon rx 5700 xt,14.4 gbps,8gb,256-bit,gddr6,2 x hdmi,2 x displayport 1.4,triple fans,306 mm,"12.05"" x 5.31""","november 22, 2019"
16,msi,rx 580 armor 8g oc,pci express x16,amd,radeon rx 580,8000 mhz,8gb,256-bit,gddr5,2 x hdmi,2 x displayport,double fans,269 mm,"10.59"" x 4.92""","april 18, 2017"
