,brand,model,interface,chipset manufacturer,gpu,effective memory clock,memory size,memory interface,memory type,hdmi,displayport
0,asus,gv-r57xtgaming oc-8gd,PCI Express 4.0 x16,AMD,GeForce RTX 2060 SUPER,14000 MHz,6GB,192-Bit,GDDR6,1 x HDMI,3 x DisplayPort
1,gigabyte,08g-p4-3163-kr,PCI Express 3.0,NVIDIA,GeForce RTX 2060 SUPER,14000 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
2,evga,rx 5700 xt challenger d 8g oc,PCI Express 4.0,AMD,GeForce RTX 2080 SUPER,14 Gbps,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
3,asrock,06g-p4-2067-kr,PCI Express 3.0,NVIDIA,GeForce GTX 1660 SUPER,15500 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
4,evga,rtx 2080 ti gaming x trio,PCI Express 3.0 x16,NVIDIA,GeForce RTX 2080 SUPER,15500 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
5,asus,rx 5700 xt taichi x 8g oc+,PCI Express 4.0,AMD,GeForce RTX 2080 SUPER,15500 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
6,sapphire,rx 5700 xt gaming x,PCI Express 4.0,AMD,GeForce RTX 2060 SUPER,14000 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
7,msi,gv-rxvega64gaming oc-8gd,PCI Express 3.0 x16,AMD,GeForce RTX 2080 SUPER,15500 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
8,sapphire,gv-n2070wf2-8gd,PCI Express 3.0 x16,NVIDIA,GeForce RTX 2080 SUPER,15500 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
9,asrock,rx 580 armor 8g oc,PCI Express x16,AMD,GeForce RTX 2060 SUPER,14 Gbps,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
10,powercolor,zt-t20610d-10p,PCI Express 3.0,NVIDIA,GeForce RTX 2060 SUPER,14 Gpbs,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,2 x DisplayPort 1.4
11,msi,11g-p4-2383-kr,PCI Express 3.0,NVIDIA,GeForce RTX 2060 SUPER,14 Gpbs,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
12,gigabyte,rx 5700 challenger d 8g oc,PCI Express 4.0,AMD,GeForce RTX 2070 SUPER,14000 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
13,sapphire,08g-p4-3188-kr,PCI Express 3.0,NVIDIA,GeForce RTX 2070 SUPER,14000 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
14,gigabyte,gv-n166sgaming oc-6gd,PCI Express 3.0 x16,NVIDIA,GeForce RTX 2070 SUPER,14 Gbps,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
15,sapphire,gv-n208sgamingoc white-8gd,PCI Express 3.0 x16,NVIDIA,GeForce RTX 2080 SUPER,15500 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
16,msi,11g-p4-2484-kr,PCI Express 3.0,NVIDIA,GeForce RTX 2070 SUPER,14000 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort
17,asus,11g-p4-2382-kr,PCI Express 3.0,NVIDIA,GeForce RTX 2080 SUPER,15.5 Gbps,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
18,zotac,gv-r57gaming oc-8gd,PCI Express 4.0 x16,AMD,GeForce RTX 2080 SUPER,15500 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
19,evga,11g-p4-2384-kr,PCI Express 3.0,NVIDIA,GeForce RTX 2080 SUPER,15500 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
20,asrock,rx 5700 evoke oc,PCI Express 4.0,AMD,GeForce RTX 2080 SUPER,15500 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
21,evga,gv-n208sturbo-8gc,PCI Express 3.0 x16,NVIDIA,GeForce RTX 2070 SUPER,15500 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
22,gigabyte,rx-56xt6df46,PCI Express 4.0,AMD,GeForce RTX 2060 SUPER,14000 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
23,gigabyte,rx 570 armor 8g oc,PCI Express x16,AMD,GeForce RTX 2070 SUPER,14000 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
24,asus,08g-p4-3067-kr,PCI Express 3.0,NVIDIA,GeForce RTX 2060 SUPER,12 Gbps,6GB,192-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
25,evga,08g-p4-3081-kr,PCI Express 3.0,NVIDIA,GeForce GTX 1660 SUPER,14000 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
26,evga,rx-55xt826d6,PCI Express 4.0,AMD,GeForce RTX 2060 SUPER,14000 MHz,6GB,192-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
27,asus,gtx 1660 gaming x 6g,PCI Express 3.0 x16,NVIDIA,GeForce RTX 2060 SUPER,14000 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
28,gigabyte,rx-580p427d6,PCI Express 3.0,AMD,Radeon RX 5700 XT,14000 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
29,evga,rx 570 armor mk2 8g oc,PCI Express x16,AMD,Radeon RX 5700 XT,14000 MHz,6GB,192-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
30,msi,11g-p4-2281-kr,PCI Express 3.0,NVIDIA,GeForce RTX 2060,14000 MHz,8GB,256-Bit,GDDR6,1 x HDMI 2.0b,3 x DisplayPort 1.4
31,asrock,gv-n208sgamingoc wb-8gd,PCI Express 3.0 x16,NVIDIA,GeForce RTX 2080 Ti,8000 MHz,8GB,256-Bit,GDDR5,1 x HDMI 2.0b,3 x DisplayPort 1.4
32,sapphire,rtx 2060 super gaming,PCI Express 3.0 x16,NVIDIA,Radeon RX 5700 XT,14000 MHz,11GB,352-Bit,GDDR6,2 x HDMI,2 x DisplayPort 1.4
33,asus,rtx 2060 super gaming x,PCI Express 3.0 x16,NVIDIA,Radeon RX 5700 XT,15500 MHz,8GB,256-Bit,GDDR6,1 x HDMI,3 x DisplayPort 1.4
