Asus ROG Strix 2080ti (3day initial impressions),rating rating-5,2020-05-01,5/1/2020 2:36:25 PM,"Pros: premium quality feel
temps ( performance toggle) are pretty great actually even time spy it didn't heat up beyond reason.
metal backplate and inner support bar construction help with sag
its a gaming monster!
new fan design the fans are not as straight as with the 1080ti strix the new design directs air down into the card better.Cons: box was barren I mean yea its all about the card but a case badge, some stickers, heck msi gives a entire support bracket ( yea not needed due to inner support) but sill for a flagship product unboxing was a let down.
power indicator lights its a tiny gripe but the two white lights on the power cables wish I could toggle them yea its a neat troubleshooting feature but maybe after startup you could put them asleep in gpu tweek.Overall Review: overall you want the best go with asus rog strix",1stplayerz P.
A beast!,rating rating-5,2020-04-28,4/28/2020 11:57:15 AM,Pros: Runs anything I will ever play! Overclockable.Cons: Havnt found any other than Asus’s Tweak software. MSI afterburner for sure. Overpriced for sure!Overall Review: Great 2080ti! Like all the other overpriced 2080ti’s,James M.
"Expensive, but effective",rating rating-5,2020-03-15,3/15/2020 1:47:16 PM,"Pros: Phenomenal performance, low temperatures, easy installationCons: Huge. Like so huge it might be messing with the airflow in my case. And you should have a plan for GPU sag related issues.

Also, mediocre performance/cost.Overall Review: Makes pretty pictures, at high cost.",Zachary S.
Great card stays cool and is relatively quiet,rating rating-5,2019-12-28,12/28/2019 9:49:00 AM,Pros: Price is on.point clock speed is good at stock settingsCons: Rgb could be brightOverall Review: Good card overall,debbie f.
Amazing graphics card,rating rating-5,2019-12-19,12/19/2019 7:45:43 AM,Pros: Runs everything 4k maxed out .. Also amazing for vr games.. Retracing is great..Cons: No problems as of yet.... Ps price is not a con.. Well worth the money..Overall Review: No problems runs everything great .. If you have the money its worth the price tag,michael b.
Freaking cool!,rating rating-5,2019-12-13,12/13/2019 11:41:03 AM,"Pros: - Able to run minecraft 500+ fps max settings
- Able to run oculus rift S smoothly
- Freaking large, good to stare
- almost silent
- g sync made my games look awesomeCons: - 2x8 pin used, might want to double check on your psu first
- the cd came with it are mostly outdated drivers, best to download them yourself
- pricy, but worth itOverall Review: Yes, I build a full RoG themed desktop and this card stand out the most because of its awesomeness. Able to easily OC with its program. Pretty impressed with it.",YEONG D.
"Do not purchase, not worth the money",rating rating-1,2019-12-06,12/6/2019 12:16:50 PM,Pros: None.Cons: Does not OC very well.Overall Review: Terrible OC not worth the money plenty of other manufacturers to buy from. ASUS disappoints me lately will no longer purchase their hardware. First card failed immediately.,Charles H.
SMOKING FAST CARD!!!!,rating rating-5,2019-12-02,12/2/2019 7:55:46 AM,"Pros: - Runs at 1980 MHz out of the box without overclocking
- Runs cold, 65C running at 98%Cons: - It ain't cheap.Overall Review: I was running 2 980 Ti's in SLI and this card is faster. No brainier.
Visuals are beautiful in Breakpoint, BattleField V and Black Ops 4.
If you want the best, look no further.
LOVE IT!!!!!",George S.
Stopped working after 2 weeks.,rating rating-1,2019-10-18,10/18/2019 10:37:52 AM,"Pros: Low temps
Performance
Build qualityCons: Noise
Price
quality controlOverall Review: This card was ""artifacting"" out of the box, as soon as i loaded into windows I noticed that letters in words such as SETTINGS were not being displayed (EX: S TTI GS). Day 1 I loaded up Raindow 6 Siege and noticed odd visuals on the main menu but that those did not carry over to the actual game so i didn't care too much. The reason i'm sending the card back now after 2 weeks of owning was because NOW BL3, BF4 and R6S do not start and crash before hitting the main menu, Dota 2 has really bad ""Artifacting"" that makes the game unplayable.",Padro V.
Good card,rating rating-3,2019-10-12,10/12/2019 9:12:49 AM,"Pros: Lots of frames which is nice.Cons: Annoying coil wine on my unit
Huge 30-40 fps drops mid game that cause a crazy amount of stuttering that last for a minute which could be something else but the card but it didn't happen on my other card so I thought I'd mention it.Overall Review: The frames are nice and from what I've read you cant do much about the coil wine and the frame issue I'm not sure if it's the card or a driver or the game im playing but other then that I've been enjoying the card.",MICHAEL P.
POWERFUL BEAST,rating rating-5,2019-10-12,10/12/2019 8:09:46 AM,"Pros: -Runs everything.
-No Coil Whine.
-Runs super cool, 61 Celsius (141 F) at full load.
-Beautiful Design.
-Extremely Quiet at full load.Cons: None so farOverall Review: Runs every game smooth, just make sure you have a good power supply and a decent processor to take full advantage of this card.",Rodrigo d.
"Good GPU, too expensive",rating rating-3,2019-10-05,10/5/2019 4:36:29 PM,"Pros: - The GPU itself is a beast.
- It's quiet.Cons: - EXPENSIVE
- EXPENSIVE
- Doesn't run as well as I thought it would.Overall Review: - I would recommend just getting a regular 2080 and not the Ti seeing as there is only about a 20 fps difference and it's half the price of the Ti.
- Save your money and get a regular 2080 vs the 2080 ti.",Jerry T.
